ISIN,Name,BSE,NSE,Fair Value,Industry
INE943B01029,Southern Ispat And Energy Limited,531645,SOUISPAT,1,Iron And Steel/Interm.Products
INE683A01023,The South Indian Bank Limited,532218,SOUTHBANK,1,Banks
INE683A01023,The South Indian Bank Limited,532218,SOUTHBANK,1,Banks
INE232I01014,Sun Pharma Advanced Research Company Limited,532872,SPARC,1,Pharmaceuticals
INE247M01014,Speciality Restaurants Limited,534425,SPECIALITY,10,Restaurants
INE409H01028,Spectacle Ventures Limited,512413,SPECTACLE,1,IT Consulting And Software
INE376C01020,Spentex Industries Limited,521082,SPENTEX,10,Textiles
INE147A01011,Southern Petrochemicals Industries Corporation  Limited,500758,SPIC,10,0
INE927C01020,Spice Mobility Limited,517214,SPICEMOBI,3,Telecom Equipment
INE978G01016,SPL Industries Limited,532651,SPLIL,10,Other Apparels And Accessories
INE937A01023,SPML Infra Limited,500402,SPMLINFRA,2,Construction And Engineering
INE268L01020,Shekhawati Poly-Yarn Limited,533301,SPYL,1,Textiles
INE201K01015,SQS India BFSI Limited,533121,SQSBFSI,10,IT Consulting And Software
INE099F01013,Sreeleathers Limited,535601,SREEL,10,Footwear
INE872A01014,SREI Infrastructure Finance Limited,523756,SREINFRA,10,Finance (including NBFCs)
INE647A01010,SRF Limited,503806,SRF,10,Textiles
INE376A01032,SRG Infotec (India) Limited,511525,SRGINFOTEC,10,IT Software Products
INE917H01012,Sree Rayalaseema Hi-Strength Hypo Limited,532842,SRHHYPOLTD,10,Commodity Chemicals
INE219H01039,SRS Limited,533569,SRSLTD,10,Other Apparels And Accessories
INE721A01013,Shriram Transport Finance Company Limited,511218,SRTRANSFIN,10,Finance (including NBFCs)
INE205A01025,Sesa Sterlite Limited,500295,SSLT,1,Iron And Steel/Interm.Products
INE802C01017,Steel Strips Wheels Limited,513262,SSWL,10,Auto Parts And Equipment
INE939A01011,Strides Arcolab Limited,532531,STAR,10,Pharmaceuticals
INE939A01011,Strides Arcolab Limited,532531,STAR,10,Pharmaceuticals
INE733A01018,Star Paper Mills Limited,516022,STARPAPER,10,Paper And Paper Products
INE655A01013,The State Trading Corporation of India Limited,512531,STCINDIA,10,Comm.Trading  And Distribution
INE577L01016,Stel Holdings Limited,533316,STEL,10,Holding Companies
INE324C01038,Sterling Biotech Limited,512299,STERLINBIO,1,Commodity Chemicals
INE334A01015,Sterling Tools Limited,530759,STERTOOLS,10,Auto Parts And Equipment
INE090C01019,STI India Limited,513151,STINDIA,10,Textiles
INE034H01016,Store One Retail India Limited,532679,STOREONE,10,Department Stores
INE089C01029,Sterlite Technologies Limited,532374,STRTECH,2,Heavy Electrical Equipment
INE189B01011,Styrolution ABS (India) Limited,506222,STYABS,10,Specialty Chemicals
INE754A01014,Subex Limited,532348,SUBEX,10,IT Software Products
INE287B01021,Subros Limited,517168,SUBROS,2,Auto Parts And Equipment
INE384L01017,Sudar Industries Limited,533332,SUDAR,10,Other Apparels And Accessories
INE659A01023,Sudarshan Chemical Industries Limited,506655,SUDARSCHEM,2,Specialty Chemicals
INE333I01036,Sujana Tower Limited,532887,SUJANATWR,10,Heavy Electrical Equipment
INE216G01011,Sujana Universal Industries Limited,517224,SUJANAUNI,10,Other Industrial Products
INE235C01010,Sumeet Industries Limited,514211,SUMEETINDS,10,Textiles
INE519C01017,Summit Securities Limited,533306,SUMMITSEC,10,Investment Companies
INE105A01035,Sundaram Clayton Limited,520056,SUNCLAYLTD,5,Auto Parts And Equipment
INE108E01023,Sundaram Multi Pap Limited,533166,SUNDARAM,1,Comm.Printing/Stationery
INE660A01013,Sundaram Finance Limited,590071,SUNDARMFIN,10,Finance (including NBFCs)
INE073D01013,Sundaram Brake Linings Limited,590072,SUNDRMBRAK,10,Auto Parts And Equipment
INE387A01021,Sundram Fasteners Limited,500403,SUNDRMFAST,1,Auto Parts And Equipment
INE947A01014,Sunflag Iron And Steel Company Limited,500404,SUNFLAG,10,Iron And Steel/Interm.Products
INE305H01010,Sunil Hitech Engineers Limited,532711,SUNILHITEC,10,Construction And Engineering
INE044A01036,Sun Pharmaceuticals Industries Limited,524715,SUNPHARMA,1,Pharmaceuticals
INE805D01026,Sunteck Realty Limited,512179,SUNTECK,2,Realty
INE424H01027,Sun TV Network Limited,532733,SUNTV,5,Broadcasting And Cable TV
INE091C01017,Super Sales India Limited,512527,SUPER,10,Textiles
INE712B01010,Superhouse Limited,523283,SUPERHOUSE,10,Footwear
INE662A01027,Super Spinning Mills Limited,521180,SUPERSPIN,1,Textiles
INE663A01017,Supreme Petrochem Limited,500405,SUPPETRO,10,Petrochemicals
INE399C01030,Suprajit Engineering Limited,532509,SUPRAJIT,1,Auto Parts And Equipment
INE195A01028,Supreme Industries Limited,509930,SUPREMEIND,2,Plastic Products
INE550H01011,Supreme Infrastructure India Limited,532904,SUPREMEINF,10,Construction And Engineering
INE651G01027,Supreme Tex Mart Limited,531934,SUPREMETEX,5,Textiles
INE357D01010,Surana Corporation Limited,531102,SURANACORP,10,Comm.Trading  And Distribution
INE659D01019,Surana Industries Limited,513597,SURANAIND,10,Iron And Steel/Interm.Products
INE130B01023,Surana Telecom and Power Limited,517530,SURANAT&P,5,Telecom Cables
INE272L01014,Surana Ventures Limited,533298,SURANAVEL,10,Other Elect.Equip./ Prod.
INE411C01017,Suryajyoti Spinning Mills Limited,521022,SURYAJYOTI,10,Textiles
INE713B01026,Suryalakshmi Cotton Mills Limited,521200,SURYALAXMI,10,Textiles
INE249G01020,Surya Pharmaceutical Limited,532516,SURYAPHARM,1,Pharmaceuticals
INE335A01012,Surya Roshni Limited,500336,SURYAROSNI,10,Iron And Steel Products
INE645H01019,Sutlej Textiles and Industries Limited,532782,SUTLEJTEX,10,Textiles
INE495B01038,Suven Life Sciences Limited,530239,SUVEN,1,Pharmaceuticals
INE040H01021,Suzlon Energy Limited,532667,SUZLON,2,Heavy Electrical Equipment
INE665A01038,Swan Energy Limited,503310,SWANENERGY,1,Realty
INE277A01016,Swaraj Engines Limited,500407,SWARAJENG,10,Auto Parts And Equipment
INE409B01013,Swelect Energy Systems Limited,532051,SWELECTES,10,Heavy Electrical Equipment
INE225D01027,Symphony Limited,517385,SYMPHONY,2,Consumer Electronics
INE602K01014,Syncom Healthcare Limited,533157,SYNCOM,10,Pharmaceuticals
INE667A01018,Syndicate Bank,532276,SYNDIBANK,10,Banks
INE123C01018,Tainwala Chemical and Plastic (I) Limited,507785,TAINWALCHM,10,Plastic Products
INE586B01026,Taj GVK Hotels & Resorts Limited,532390,TAJGVK,2,Hotels
INE142I01023,Take Solutions Limited,532890,TAKE,1,IT Consulting And Software
INE187D01011,Talbros Automotive Components Limited,505160,TALBROAUTO,10,Auto Parts And Equipment
INE502K01016,Talwalkars Better Value Fitness Limited,533200,TALWALKARS,10,Other Leisure Facilities
INE639B01015,Tanfac Industries Limited,506854,TANFACIND,10,Commodity Chemicals
INE483C01032,Tanla Solutions Limited,532790,TANLA,1,IT Software Products
INE388G01018,Tantia Constructions Limited,532738,TANTIACONS,10,Construction And Engineering
INE799L01016,Tara Jewels Limited,534756,TARAJEWELS,10,Other Apparels And Accessories
